,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility,b,l,d,gal_inwards,gal_eastwards,gal_upwards,colorbin
88,HD 160691,d,HD 160691 d,Radial Velocity,0.0,4.0,9.6386,0.0015,-0.0015,0.0,3.0,0.09094,,,0.0,3.0,0.172,0.04,-0.04,0.0,3.0,,,,,0.0,0.03321,,,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0.0,5.0,5.15,,0.0,V (Johnson),4.905,,0.0,,,,0.0,9.0,1.08,,,0.0,11.0,1.0676039996827908,,,0.0,4.0,1.0,2014-08-21,La Silla Observatory,-11.498141856820936,340.0606990459284,15.609999999999996,14.379754610526177,-5.216557312350053,-3.1116373741196535,4
89,HD 160691,e,HD 160691 e,Radial Velocity,0.0,4.0,310.55,0.83,-0.83,0.0,2.0,0.921,,,0.0,2.0,0.0666,0.0122,-0.0122,0.0,2.0,,,,,0.0,0.5219,,,0.0,2.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0.0,5.0,5.15,,0.0,V (Johnson),4.905,,0.0,,,,0.0,9.0,1.08,,,0.0,11.0,1.0676039996827908,,,0.0,4.0,1.0,2014-08-21,La Silla Observatory,-11.498141856820936,340.0606990459284,15.609999999999996,14.379754610526177,-5.216557312350053,-3.1116373741196535,4
149,HD 285968,b,HD 285968 b,Radial Velocity,0.0,1.0,8.7836,0.0054,-0.0054,0.0,2.0,0.066,,,0.0,2.0,0.0,,,0.0,2.0,,,,,0.0,0.026,,,0.0,2.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,04h42m55.78s,+18d57m29.4s,70.732407,8e-06,18.958172,5e-06,5.0,9.47,0.01,-0.01,0.0,6.0,10.038,0.049,0.0,V (Johnson),9.0,,0.0,3679.0,77.0,-77.0,0.0,3.0,0.45,,,0.0,3.0,0.45,0.02,-0.02,0.0,3.0,0.0,2014-11-19,La Silla Observatory,-17.42650224565671,180.0153657336991,9.47,-9.03534471248211,-0.0024231227018782775,-2.8360959178240046,1
158,GJ 1148,b,GJ 1148 b,Radial Velocity,0.0,2.0,41.38,0.002,-0.001,0.0,2.0,0.166,0.001,-0.001,0.0,2.0,0.38,0.01,-0.012,0.0,2.0,,,,0.0,0.0,0.30425,0.00444,-0.00321,0.0,2.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,11h41m44.63s,+42d45m07.1s,175.435974,5e-06,42.751972,3e-06,4.0,11.02,0.01,-0.01,0.0,3.0,11.92,0.02,0.0,V (Johnson),10.577,,0.0,3264.0,,,0.0,2.0,0.35,,,0.0,1.0,0.4,,,0.0,1.0,0.0,2017-10-19,W. M. Keck Observatory,68.91793694158979,160.61253242875694,11.02,-3.739171617252165,1.3158509539875558,10.282389405368086,1
162,Ross 458,c,Ross 458 c,Imaging,0.0,1.0,,,,,0.0,1168.0,,,0.0,2.0,,,,,0.0,,,,,0.0,6.28536,,,0.0,2.0,Mass,1.22,,,0.0,2.0,,,,,0.0,0.0,0.0,0.0,13h00m46.58s,+12d22m32.6s,195.194092,4e-06,12.375724,4e-06,4.0,11.51,0.02,-0.02,0.0,3.0,9.72,0.02,0.0,V (Johnson),8.908,,0.0,3621.0,,,0.0,2.0,0.49,,,0.0,1.0,0.63,,,0.0,1.0,0.0,2014-05-14,Las Campanas Observatory,75.08598405574062,311.8254313024425,11.510000000000002,1.9754620088173074,-2.2074613415554922,11.122264350268678,1
173,HD 189733,b,HD 189733 b,Radial Velocity,0.0,1.0,2.21857567,1.5e-07,-1.5e-07,0.0,12.0,0.03099,,,0.0,7.0,0.0,,,0.0,5.0,85.71,0.0,0.0,0.0,10.0,1.13,0.08,-0.08,0.0,10.0,Mass,1.13,0.01,-0.01,0.0,9.0,,,,0.0,8.0,0.0,0.0,0.0,20h00m43.71s,+22d42m39.1s,300.182129,2e-06,22.710854,1e-06,3.0,19.78,0.01,-0.01,0.0,6.0,7.67,0.03,0.0,V (Johnson),7.414,,0.0,5052.0,16.0,-16.0,0.0,12.0,0.79,0.08,-0.08,0.0,11.0,0.75,0.01,-0.01,0.0,13.0,0.0,2018-12-06,Haute-Provence Observatory,-3.9222618379325858,60.96306170601937,19.78,9.57819855222487,17.25328596686901,-1.3530099185143647,3
174,HD 190360,b,HD 190360 b,Radial Velocity,0.0,2.0,2915.03687,29.0,-29.0,0.0,6.0,3.97,0.07,-0.07,0.0,4.0,0.31,0.02,-0.02,0.0,6.0,,,,0.0,0.0,1.54,0.08,-0.08,0.0,6.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,20h03m37.40s,+29d53m48.5s,300.905853,1e-06,29.896805,1e-06,4.0,16.01,0.02,-0.02,0.0,6.0,5.73,,0.0,V (Johnson),5.534,,0.0,5552.0,11.0,-11.0,0.0,7.0,0.99,0.08,-0.08,0.0,8.0,1.14,0.02,-0.02,0.0,5.0,1.0,2018-09-06,Haute-Provence Observatory,-0.6724609098116046,67.41090731892457,16.01,6.1493306858718695,14.78074848813787,-0.1878995641418837,4
175,HD 190360,c,HD 190360 c,Radial Velocity,0.0,2.0,17.111,0.0048,-0.0048,0.0,3.0,0.1304,0.0075,-0.0075,0.0,2.0,0.237,0.082,-0.082,0.0,3.0,,,,,0.0,0.06,0.0076,-0.0076,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,20h03m37.40s,+29d53m48.5s,300.905853,1e-06,29.896805,1e-06,4.0,16.01,0.02,-0.02,0.0,6.0,5.73,,0.0,V (Johnson),5.534,,0.0,5552.0,11.0,-11.0,0.0,7.0,0.99,0.08,-0.08,0.0,8.0,1.14,0.02,-0.02,0.0,5.0,1.0,2014-08-21,W. M. Keck Observatory,-0.6724609098116046,67.41090731892457,16.01,6.1493306858718695,14.78074848813787,-0.1878995641418837,4
178,HD 192263,b,HD 192263 b,Radial Velocity,0.0,1.0,24.3556,0.0046,-0.0046,0.0,6.0,0.15,0.0,0.0,0.0,6.0,0.05,0.04,-0.04,0.0,6.0,,,,0.0,0.0,0.56,0.05,-0.05,0.0,6.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,20h13m59.85s,-00d52m00.8s,303.499359,4e-06,-0.866877,2e-06,3.0,19.65,0.02,-0.02,0.0,5.0,7.79,,0.0,V (Johnson),7.496,,0.0,4976.0,18.0,-18.0,0.0,10.0,0.66,0.08,-0.08,0.0,9.0,0.74,0.01,-0.01,0.0,6.0,0.0,2018-09-06,La Silla Observatory,-18.697851188145616,41.87495394728686,19.65,13.859242355008817,12.424255552303084,-6.299347213497251,2
179,HD 192310,b,HD 192310 b,Radial Velocity,0.0,2.0,74.72,0.1,-0.1,0.0,2.0,0.32,0.005,-0.005,0.0,2.0,0.13,0.04,-0.04,0.0,2.0,90.0,,,0.0,1.0,0.0532,0.0028,-0.0028,0.0,2.0,Msin(i)/sin(i),,,,,0.0,,,,,0.0,0.0,0.0,0.0,20h15m17.39s,-27d01m58.7s,303.822449,2e-06,-27.032976,1e-06,4.0,8.8,0.01,-0.01,0.0,4.0,5.73,,0.0,V (Johnson),5.453,,0.0,5166.0,49.0,-49.0,0.0,7.0,0.8,,,0.0,6.0,0.8272304056273321,,,,4.0,0.0,2015-07-02,La Silla Observatory,-29.39744077109922,15.624535153716126,8.8,7.383562944064742,2.0649364851312324,-4.319610580064814,3
